Longitude,Latitude,Elevation,Date,ppt,temp
-118.4,37.7,1458,1924,77.13,11.4
-118.3,37.7,3410,1924,280.09,0.2
-118.2,37.7,2498,1924,186.99,5.9
-118.1,37.7,1479,1924,65.88,10.9
-118,37.7,1729,1924,86.66,10
-120,37.6,668,1924,525.85,14.1
-119.9,37.6,1053,1924,656.41,12.9
-119.8,37.6,1195,1924,678.24,12.7
-119.7,37.6,1298,1924,657.76,11.9
-119.6,37.6,2327,1924,716.46,6.8
-119.5,37.6,2746,1924,839.12,4.3
-119.4,37.6,2719,1924,831.96,3.8
-119.3,37.6,2681,1924,720.19,5.1
-119.2,37.6,2366,1924,568,6.6
-119.1,37.6,2293,1924,448.37,5.5
-119,37.6,3018,1924,959.1,2.9
-118.9,37.6,3057,1924,660.41,2.4
-118.8,37.6,2297,1924,173.9,5.9
-118.7,37.6,2122,1924,119.16,6.9
-118.6,37.6,2155,1924,117.33,7.3
-118.5,37.6,1774,1924,99.19,10.2
-118.4,37.6,1396,1924,77.98,12.2
-118.3,37.6,2866,1924,212.09,3.5
-118.2,37.6,3482,1924,324.43,-0.7
-118.1,37.6,1996,1924,131.56,8.3
-118,37.6,1543,1924,68.69,10.5
-120,37.5,725,1924,555.27,14.3
-119.9,37.5,873,1924,598.47,13.9
-119.8,37.5,1187,1924,673,12.9
-119.7,37.5,1534,1924,704.73,11.3
-119.6,37.5,1983,1924,687.49,8.7
-119.5,37.5,2522,1924,836.59,5.7
-119.4,37.5,2208,1924,698.82,6.8
-119.3,37.5,2130,1924,641.91,8.1
-119.2,37.5,1631,1924,574.27,9.9
-119.1,37.5,2606,1924,642.94,5.6
-119,37.5,2998,1924,724.42,2.8
-118.9,37.5,3146,1924,857.58,1.3
-118.8,37.5,3549,1924,889.67,-0.6
-118.7,37.5,2998,1924,241.2,3
-118.6,37.5,1714,1924,94.05,10.6
-118.5,37.5,1544,1924,87.9,12
-118.4,37.5,1307,1924,75.31,12.8
-118.3,37.5,2175,1924,134.57,7.8
-118.2,37.5,3245,1924,278.75,0.5
-118.1,37.5,2747,1924,234.27,4.3
-118,37.5,1995,1924,123.72,8.2
-120,37.4,500,1924,448.62,15.4
-119.9,37.4,630,1924,493.55,14.8
-119.8,37.4,749,1924,499.92,14.7
-119.7,37.4,1096,1924,602.67,13.4
-119.6,37.4,1570,1924,680.14,11.2
-119.5,37.4,2187,1924,838.35,7.6
-119.4,37.4,1813,1924,679.79,8.9
-119.3,37.4,1698,1924,645.22,10.1
-119.2,37.4,2029,1924,619.21,8.2
-119.1,37.4,2480,1924,629.12,5.9
-119,37.4,2657,1924,627.06,3.9
-118.9,37.4,2725,1924,659.96,3.2
-118.8,37.4,3558,1924,837.99,-0.6
-118.7,37.4,3599,1924,740.88,-1
-118.6,37.4,1418,1924,80.47,12.9
-118.5,37.4,1415,1924,79.85,13
-118.4,37.4,1293,1924,74.07,12.8
-118.3,37.4,1712,1924,99.23,10.4
-118.2,37.4,2839,1924,221.92,3.2
-118.1,37.4,2622,1924,218.33,5
-118,37.4,1883,1924,114.13,9
-120,37.3,331,1924,363.19,16.2
-119.9,37.3,291,1924,353.41,16.5
-119.8,37.3,533,1924,423.75,15.2
-119.7,37.3,877,1924,523.85,14.9
-119.6,37.3,1132,1924,602.35,13.7
-119.5,37.3,1197,1924,629.51,12.9
-119.4,37.3,1957,1924,713.85,9.3
-119.3,37.3,1935,1924,595.45,9
-119.2,37.3,2725,1924,654.42,4.5
-119.1,37.3,2761,1924,702.05,4.3
-119,37.3,2559,1924,513.62,4.3
-118.9,37.3,3147,1924,645.47,1.9
-118.8,37.3,3450,1924,901.3,-0.1
-118.7,37.3,3569,1924,672.94,-0.7
-118.6,37.3,2305,1924,147.85,6.6
-118.5,37.3,2192,1924,144.29,7.4
-118.4,37.3,1708,1924,107.53,10.5
-118.3,37.3,1257,1924,68.73,12.5
-118.2,37.3,2252,1924,178.49,6.8
-118.1,37.3,1599,1924,89.3,10.7
-118,37.3,1944,1924,116.74,8.8
-120,37.2,163,1924,314.47,16.9
-119.9,37.2,271,1924,314.35,16.9
-119.8,37.2,377,1924,375.35,16.1
-119.7,37.2,601,1924,441.38,15
-119.6,37.2,676,1924,484.74,15
-119.5,37.2,803,1924,539.81,14.7
-119.4,37.2,1327,1924,612.6,13
-119.3,37.2,1384,1924,556.19,11.8
-119.2,37.2,2204,1924,622.45,6.9
-119.1,37.2,2715,1924,632.92,3.4
-119,37.2,2928,1924,706.83,2.2
-118.9,37.2,3073,1924,789.66,2.1
-118.8,37.2,3070,1924,785.95,1.3
-118.7,37.2,3680,1924,744.61,-1.3
-118.6,37.2,3166,1924,279.27,1.4
-118.5,37.2,3161,1924,337.23,1.1
-118.4,37.2,2630,1924,205.23,4.7
-118.3,37.2,1202,1924,67.76,12.9
-118.2,37.2,1619,1924,106.13,10.8
-118.1,37.2,2462,1924,176.14,5.7
-118,37.2,2148,1924,144.47,7.5
-120,37.1,109,1924,280.42,16.6
-119.9,37.1,126,1924,293.93,16.8
-119.8,37.1,252,1924,344.31,17.1
-119.7,37.1,305,1924,365.61,16.8
-119.6,37.1,501,1924,415.96,15.9
-119.5,37.1,652,1924,451.19,15.4
-119.4,37.1,1301,1924,531.92,13.5
-119.3,37.1,1682,1924,615.79,10.8
-119.2,37.1,1994,1924,626.54,8.6
-119.1,37.1,2527,1924,679.55,5.3
-119,37.1,2748,1924,644.69,4.1
-118.9,37.1,2462,1924,619.55,4.7
-118.8,37.1,3265,1924,764.49,0.5
-118.7,37.1,3582,1924,1013.24,-1
-118.6,37.1,3116,1924,476.65,1.4
-118.5,37.1,3737,1924,917.87,-2.3
-118.4,37.1,3196,1924,430.3,0.8
-118.3,37.1,1474,1924,104.84,12.4
-118.2,37.1,1261,1924,76.52,13
-118.1,37.1,2553,1924,180.02,5.2
-118,37.1,2192,1924,135.99,6.7
-120,37,95,1924,274.13,16.5
-119.9,37,107,1924,285.64,16.7
-119.8,37,146,1924,316.41,17.2
-119.7,37,155,1924,334.36,17.3
-119.6,37,314,1924,373.4,16.4
-119.5,37,413,1924,395.62,15.9
-119.4,37,599,1924,448.1,15.3
-119.3,37,987,1924,505.37,14.3
-119.2,37,1195,1924,573.98,13.1
-119.1,37,2032,1924,698.34,8.4
-119,37,2106,1924,740.48,7.3
-118.9,37,2701,1924,677.09,4.8
-118.8,37,2805,1924,717.62,3.9
-118.7,37,3260,1924,1059.23,1.3
-118.6,37,2429,1924,557.13,5.5
-118.5,37,3540,1924,850.5,-0.6
-118.4,37,3601,1924,804.37,-1.4
-118.3,37,1376,1924,89.37,13.3
-118.2,37,1214,1924,68.33,13.8
-118.1,37,2771,1924,173.37,4
-118,37,2601,1924,171.36,4.8
-120,36.9,84,1924,268.91,16.5
-119.9,36.9,96,1924,281.54,16.7
-119.8,36.9,113,1924,296.64,17.2
-119.7,36.9,124,1924,305.54,17.3
-119.6,36.9,198,1924,334.24,17.4
-119.5,36.9,269,1924,361.95,17.2
-119.4,36.9,634,1924,445.6,15.6
-119.3,36.9,465,1924,402.68,16.1
-119.2,36.9,931,1924,495.95,14.5
-119.1,36.9,1197,1924,498.31,13.1
-119,36.9,1736,1924,626.92,10.4
-118.9,36.9,2613,1924,682.8,5.7
-118.8,36.9,1920,1924,655.2,8.2
-118.7,36.9,2691,1924,657.44,4.9
-118.6,36.9,3147,1924,757.89,1.8
-118.5,36.9,3348,1924,659.82,0.6
-118.4,36.9,3468,1924,743.58,-0.4
-118.3,36.9,1644,1924,122.6,11.8
-118.2,36.9,1161,1924,65.34,14.6
-118.1,36.9,2147,1924,153.61,7.7
-118,36.9,2295,1924,151.41,7.2
-120,36.8,78,1924,257.88,16.8
-119.9,36.8,86,1924,268.89,17
-119.8,36.8,96,1924,275.19,17.2
-119.7,36.8,105,1924,276.32,17.3
-119.6,36.8,121,1924,286.48,17.3
-119.5,36.8,142,1924,294.88,17.4
-119.4,36.8,172,1924,306.71,17.4
-119.3,36.8,322,1924,377.78,16.8
-119.2,36.8,527,1924,424.77,15.8
-119.1,36.8,1074,1924,517.41,13.8
-119,36.8,1706,1924,655.87,10.4
-118.9,36.8,1702,1924,657.59,9.7
-118.8,36.8,1658,1924,638.83,9.8
-118.7,36.8,1843,1924,631.9,9
-118.6,36.8,1949,1924,493.22,8.7
-118.5,36.8,2964,1924,515.4,2.9
-118.4,36.8,3479,1924,912.54,-0.2
-118.3,36.8,1914,1924,158.07,10
-118.2,36.8,1256,1924,74.56,14.6
-118.1,36.8,1218,1924,73.15,14.7
-118,36.8,2749,1924,210.21,4.4
-120,36.7,71,1924,241.6,16.8
-119.9,36.7,76,1924,254.82,17
-119.8,36.7,86,1924,266.52,17.2
-119.7,36.7,95,1924,268.62,17.3
-119.6,36.7,110,1924,278.01,17.3
-119.5,36.7,110,1924,274.31,17.3
-119.4,36.7,199,1924,304.62,17.1
-119.3,36.7,317,1924,363.52,16.7
-119.2,36.7,521,1924,425.31,15.9
-119.1,36.7,818,1924,484.88,14.6
-119,36.7,1483,1924,636,11.4
-118.9,36.7,1921,1924,796.74,8.1
-118.8,36.7,2611,1924,984.2,4.9
-118.7,36.7,2651,1924,641.2,4.3
-118.6,36.7,2513,1924,453.3,4.7
-118.5,36.7,3613,1924,705.7,-0.9
-118.4,36.7,3639,1924,807.39,-1.1
-118.3,36.7,2486,1924,213.08,5.6
-118.2,36.7,1479,1924,97.74,13.6
-118.1,36.7,1129,1924,69.85,15.2
-118,36.7,2204,1924,173.78,7.9
-120,36.6,64,1924,218.63,16.9
-119.9,36.6,70,1924,224.58,17
-119.8,36.6,80,1924,242.54,17.2
-119.7,36.6,88,1924,252.35,17.3
-119.6,36.6,98,1924,257.53,17.4
-119.5,36.6,102,1924,259.04,17.3
-119.4,36.6,105,1924,256.78,17.2
-119.3,36.6,129,1924,267.09,17.1
-119.2,36.6,313,1924,336.97,16.8
-119.1,36.6,687,1924,437.84,15.8
-119,36.6,751,1924,456.81,15.3
-118.9,36.6,931,1924,504.28,14.6
-118.8,36.6,1800,1924,876.69,8.5
-118.7,36.6,2458,1924,1017.96,5.7
-118.6,36.6,2882,1924,647.09,3.1
-118.5,36.6,3395,1924,740.52,0.4
-118.4,36.6,2841,1924,364.26,2.8
-118.3,36.6,3889,1924,686.84,-2.9
-118.2,36.6,2389,1924,201.52,6.5
-118.1,36.6,1272,1924,80.81,14.7
-118,36.6,1117,1924,73.61,15.1
-120,36.5,61,1924,196.49,17
-119.9,36.5,67,1924,202.05,17.1
-119.8,36.5,74,1924,209.48,17.2
-119.7,36.5,80,1924,218.17,17.3
-119.6,36.5,89,1924,234.87,17.3
-119.5,36.5,92,1924,240.34,17.2
-119.4,36.5,94,1924,240.36,17.1
-119.3,36.5,106,1924,245.57,17
-119.2,36.5,182,1924,276.9,17
-119.1,36.5,431,1924,378.35,16.8
-119,36.5,486,1924,417.61,16.6
-118.9,36.5,508,1924,447.55,16.5
-118.8,36.5,1017,1924,559.84,14
-118.7,36.5,2209,1924,871.61,7.4
-118.6,36.5,3034,1924,617.56,2.6
-118.5,36.5,3065,1924,610.95,1.9
-118.4,36.5,2805,1924,329.8,3.5
-118.3,36.5,3411,1924,417.93,0
-118.2,36.5,3480,1924,323.38,-0.7
-118.1,36.5,1637,1924,111.57,12.3
-118,36.5,1087,1924,76.66,15.3
-120,36.4,64,1924,184.03,17.1
-119.9,36.4,64,1924,183.17,17.1
-119.8,36.4,72,1924,182.23,17.3
-119.7,36.4,77,1924,188.48,17.3
-119.6,36.4,83,1924,198.84,17.3
-119.5,36.4,83,1924,214.1,17.1
-119.4,36.4,87,1924,224.35,17.1
-119.3,36.4,99,1924,228.91,17.1
-119.2,36.4,114,1924,235.29,17
-119.1,36.4,164,1924,261.93,17.1
-119,36.4,249,1924,303.92,16.9
-118.9,36.4,350,1924,382.14,16.7
-118.8,36.4,1593,1924,667.55,11.1
-118.7,36.4,1836,1924,749.1,8.8
-118.6,36.4,3015,1924,757.15,2.7
-118.5,36.4,3263,1924,870.87,1
-118.4,36.4,2386,1924,296.86,5.6
-118.3,36.4,3051,1924,359.09,1.4
-118.2,36.4,3069,1924,298.64,1.7
-118.1,36.4,2116,1924,140.7,8.1
-118,36.4,1091,1924,79.45,15.4
-120,36.3,81,1924,160.42,17.4
-119.9,36.3,69,1924,161.77,17.4
-119.8,36.3,68,1924,167.42,17.4
-119.7,36.3,71,1924,174.3,17.4
-119.6,36.3,74,1924,179.36,17.3
-119.5,36.3,78,1924,184.51,17.1
-119.4,36.3,86,1924,194.78,17.1
-119.3,36.3,99,1924,209.07,17.1
-119.2,36.3,108,1924,214.61,17
-119.1,36.3,238,1924,259.99,17.2
-119,36.3,295,1924,300.6,17.2
-118.9,36.3,543,1924,432.5,16.2
-118.8,36.3,1321,1924,630.19,12.3
-118.7,36.3,1837,1924,850.01,8.7
-118.6,36.3,2762,1924,710.82,4.2
-118.5,36.3,2222,1924,552.85,5.7
-118.4,36.3,2296,1924,449.14,6.3
-118.3,36.3,3039,1924,378.82,2.5
-118.2,36.3,2674,1924,254.57,3.1
-118.1,36.3,2389,1924,172.97,6.4
-118,36.3,1107,1924,73.78,15.6
-120,36.2,86,1924,154.52,17.4
-119.9,36.2,71,1924,155.97,17.4
-119.8,36.2,64,1924,160.81,17.5
-119.7,36.2,66,1924,164.17,17.3
-119.6,36.2,69,1924,167.45,17.3
-119.5,36.2,75,1924,169.23,17.1
-119.4,36.2,80,1924,177.3,17.1
-119.3,36.2,91,1924,192.35,17
-119.2,36.2,97,1924,198.18,16.9
-119.1,36.2,120,1924,213.68,17.1
-119,36.2,296,1924,268.72,17.4
-118.9,36.2,531,1924,389.86,16.2
-118.8,36.2,604,1924,411.51,15.6
-118.7,36.2,1512,1924,662.7,10.8
-118.6,36.2,2487,1924,1081.25,5.6
-118.5,36.2,1929,1924,721.24,7.3
-118.4,36.2,2067,1924,611.39,6.9
-118.3,36.2,2496,1924,379.52,4.4
-118.2,36.2,2557,1924,342.45,4.3
-118.1,36.2,2463,1924,205.02,6
-118,36.2,1308,1924,67.16,14.9
-120,36.1,78,1924,142.4,17.8
-119.9,36.1,60,1924,146.02,17.6
-119.8,36.1,56,1924,151.4,17.5
-119.7,36.1,56,1924,152.12,17.5
-119.6,36.1,61,1924,151.9,17.3
-119.5,36.1,66,1924,154.81,17.3
-119.4,36.1,72,1924,157.4,17.2
-119.3,36.1,86,1924,168.77,17
-119.2,36.1,101,1924,183.34,17
-119.1,36.1,124,1924,200.99,17.1
-119,36.1,181,1924,218.84,17.3
-118.9,36.1,215,1924,227.64,17.5
-118.8,36.1,569,1924,400.53,15.8
-118.7,36.1,1380,1924,621.15,11.8
-118.6,36.1,2506,1924,1053.47,5.8
-118.5,36.1,1958,1924,748.43,7.7
-118.4,36.1,2264,1924,708.73,6.4
-118.3,36.1,2393,1924,334.86,4.9
-118.2,36.1,2446,1924,317.22,5.7
-118.1,36.1,2535,1924,305.09,5.9
-118,36.1,1415,1924,79.5,14.2
-120,36,190,1924,140.11,18.2
-119.9,36,58,1924,136.43,17.9
-119.8,36,56,1924,142.28,17.6
-119.7,36,57,1924,146.61,17.5
-119.6,36,59,1924,152.21,17.3
-119.5,36,61,1924,153.95,17.2
-119.4,36,70,1924,152.64,17.2
-119.3,36,85,1924,159.32,17.1
-119.2,36,99,1924,171.93,17
-119.1,36,130,1924,197.66,17.1
-119,36,158,1924,209.68,17.3
-118.9,36,217,1924,233.21,17.5
-118.8,36,736,1924,459.92,15.4
-118.7,36,1367,1924,631.41,12
-118.6,36,1959,1924,915.03,8.2
-118.5,36,1390,1924,405.88,10.8
-118.4,36,2302,1924,618.48,6.6
-118.3,36,2410,1924,327.09,5.8
-118.2,36,2081,1924,253.17,8.6
-118.1,36,2015,1924,244.6,9.6
-118,36,1913,1924,186.3,10.2
-120,38,1612,1925,1083.22,9.5
-119.9,38,1541,1925,1082.18,9.6
-119.8,38,1966,1925,1155.28,7.8
-119.7,38,2288,1925,1230.47,6.3
-119.6,38,2578,1925,1280.92,4.1
-119.5,38,2883,1925,1231.37,2.4
-119.4,38,2823,1925,875.82,2.2
-119.3,38,3199,1925,804.74,1
-119.2,38,3195,1925,609.18,1.2
-119.1,38,1944,1925,246.85,8.1
-119,38,1944,1925,256.32,7.9
-118.9,38,1953,1925,270.2,7.7
-118.8,38,2287,1925,289.43,5.8
-118.7,38,2157,1925,270.24,6.6
-118.6,38,2279,1925,256,6.5
-118.5,38,2384,1925,255.92,6.1
-118.4,38,2338,1925,250.89,6.1
-118.3,38,2020,1925,226.44,7.6
-118.2,38,1827,1925,213.9,9
-118.1,38,1675,1925,204.38,10.3
-118,38,1401,1925,172.33,12.1
-120,37.9,1199,1925,928.68,11.1
-119.9,37.9,1242,1925,898.44,11.2
-119.8,37.9,1589,1925,1020.12,9.9
-119.7,37.9,1993,1925,1094.72,8.2
-119.6,37.9,2132,1925,1024.39,6.8
-119.5,37.9,2400,1925,1040.52,5.1
-119.4,37.9,2589,1925,819.75,3.1
-119.3,37.9,3200,1925,826.94,0.9
-119.2,37.9,3271,1925,688.64,0.9
-119.1,37.9,2060,1925,269.65,7.3
-119,37.9,2091,1925,282.11,7
-118.9,37.9,2211,1925,300.53,6.2
-118.8,37.9,2327,1925,323.85,5.6
-118.7,37.9,2037,1925,237.12,7.1
-118.6,37.9,1997,1925,240.78,7.9
-118.5,37.9,1898,1925,224.75,8.8
-118.4,37.9,1891,1925,216.33,8.6
-118.3,37.9,2603,1925,282.66,5.2
-118.2,37.9,2000,1925,223.46,8
-118.1,37.9,1696,1925,211.21,10.2
-118,37.9,1561,1925,194.02,11.2
-120,37.8,1214,1925,897.73,11.2
-119.9,37.8,1399,1925,906.48,10.6
-119.8,37.8,1709,1925,921.43,9
-119.7,37.8,2270,1925,1055.34,6.7
-119.6,37.8,2401,1925,991.36,5.7
-119.5,37.8,2380,1925,1014.8,5.3
-119.4,37.8,2786,1925,1026.88,2.7
-119.3,37.8,3287,1925,915.04,0.6
-119.2,37.8,3504,1925,1111.36,-0.1
-119.1,37.8,2456,1925,516.93,4.6
-119,37.8,2450,1925,429.12,4.6
-118.9,37.8,2474,1925,437.67,4.6
-118.8,37.8,2829,1925,458.35,4
-118.7,37.8,2758,1925,396.23,4.3
-118.6,37.8,2059,1925,232.49,7.9
-118.5,37.8,1848,1925,206.28,9.4
-118.4,37.8,2129,1925,252.92,7.8
-118.3,37.8,3021,1925,363.37,2.5
-118.2,37.8,2185,1925,253.17,7.4
-118.1,37.8,1487,1925,192.82,11.2
-118,37.8,1451,1925,188.9,11.4
-120,37.7,885,1925,784.94,12
-119.9,37.7,1152,1925,862.21,11.9
-119.8,37.7,1449,1925,863.3,11.1
-119.7,37.7,1480,1925,860.78,10.8
-119.6,37.7,2269,1925,900.04,6.5
-119.5,37.7,2408,1925,909.06,5.6
-119.4,37.7,2928,1925,1078.91,2.4
-119.3,37.7,3250,1925,1022.44,0.9
-119.2,37.7,3325,1925,1179.46,0.8
-119.1,37.7,2969,1925,791.35,2.8
-119,37.7,2410,1925,460.85,4.8
-118.9,37.7,2348,1925,377.02,5.2
-118.8,37.7,2095,1925,215.87,6.4
-118.7,37.7,2173,1925,240.08,6.4
-118.6,37.7,2382,1925,256.35,6.7
-118.5,37.7,1786,1925,197.27,9.7
-118.4,37.7,1458,1925,191.01,11.4
-118.3,37.7,3410,1925,420.37,-0.1
-118.2,37.7,2498,1925,310.44,6
-118.1,37.7,1479,1925,191.75,11.1
-118,37.7,1729,1925,213.96,10.1
-120,37.6,668,1925,607.43,13.6
-119.9,37.6,1053,1925,824.98,12.5
-119.8,37.6,1195,1925,880.55,12.3
-119.7,37.6,1298,1925,855.28,11.5
-119.6,37.6,2327,1925,977.02,6.4
-119.5,37.6,2746,1925,1222.23,3.9
-119.4,37.6,2719,1925,1153.09,3.5
-119.3,37.6,2681,1925,929.82,5
-119.2,37.6,2366,1925,747.85,6.5
-119.1,37.6,2293,1925,646.57,5.4
-119,37.6,3018,1925,1175.08,2.7
-118.9,37.6,3057,1925,812.63,2.7
-118.8,37.6,2297,1925,269.8,6.1
-118.7,37.6,2122,1925,218.86,7.3
-118.6,37.6,2155,1925,213.41,8.3
-118.5,37.6,1774,1925,194.96,11
-118.4,37.6,1396,1925,182.48,12.1
-118.3,37.6,2866,1925,347.34,3.4
-118.2,37.6,3482,1925,434.49,-0.9
-118.1,37.6,1996,1925,265.11,8.7
-118,37.6,1543,1925,195.2,10.7
-120,37.5,725,1925,631.05,13.9
-119.9,37.5,873,1925,707.46,13.4
-119.8,37.5,1187,1925,860.14,12.4
-119.7,37.5,1534,1925,921.54,10.8
-119.6,37.5,1983,1925,887.71,8.4
-119.5,37.5,2522,1925,1175.47,5.3
-119.4,37.5,2208,1925,974.33,6.4
-119.3,37.5,2130,1925,845.4,8
-119.2,37.5,1631,1925,735.28,9.7
-119.1,37.5,2606,1925,863.71,5.4
-119,37.5,2998,1925,964.96,2.5
-118.9,37.5,3146,1925,1051.07,1.2
-118.8,37.5,3549,1925,944.18,-0.2
-118.7,37.5,2998,1925,329.99,3.4
-118.6,37.5,1714,1925,184.16,10.8
-118.5,37.5,1544,1925,179.06,12.1
-118.4,37.5,1307,1925,168.58,12.8
-118.3,37.5,2175,1925,261.86,8.2
-118.2,37.5,3245,1925,391.95,0.5
-118.1,37.5,2747,1925,342.03,4.8
-118,37.5,1995,1925,248.44,8.7
-120,37.4,500,1925,475.54,15
-119.9,37.4,630,1925,544.64,14.4
-119.8,37.4,749,1925,582.66,14.2
-119.7,37.4,1096,1925,757.09,12.9
-119.6,37.4,1570,1925,891.53,10.7
-119.5,37.4,2187,1925,1191.42,7.2
-119.4,37.4,1813,1925,918.15,8.5
-119.3,37.4,1698,1925,840.07,10
-119.2,37.4,2029,1925,825.95,7.9
-119.1,37.4,2480,1925,854.91,5.6
-119,37.4,2657,1925,847.71,3.8
-118.9,37.4,2725,1925,866.13,3.1
-118.8,37.4,3558,1925,956.38,-0.2
-118.7,37.4,3599,1925,729.95,-0.6
-118.6,37.4,1418,1925,162.99,13.1
-118.5,37.4,1415,1925,165,13.2
-118.4,37.4,1293,1925,161.96,12.8
-118.3,37.4,1712,1925,198.27,10.8
-118.2,37.4,2839,1925,334.92,3.4
-118.1,37.4,2622,1925,367.07,5.7
-118,37.4,1883,1925,230.44,9.6
-120,37.3,331,1925,377.98,15.9
-119.9,37.3,291,1925,359.93,16.1
-119.8,37.3,533,1925,472.66,14.8
-119.7,37.3,877,1925,631.48,14.3
-119.6,37.3,1132,1925,738.33,13.1
-119.5,37.3,1197,1925,776.47,12.2
-119.4,37.3,1957,1925,929.26,8.6
-119.3,37.3,1935,1925,786.86,8.5
-119.2,37.3,2725,1925,896.96,3.9
-119.1,37.3,2761,1925,980.86,4.1
-119,37.3,2559,1925,708.3,4.2
-118.9,37.3,3147,1925,869.1,1.7
-118.8,37.3,3450,1925,1009.66,0.1
-118.7,37.3,3569,1925,759.16,0.1
-118.6,37.3,2305,1925,240.52,8.1
-118.5,37.3,2192,1925,231.49,8.8
-118.4,37.3,1708,1925,181.48,11.4
-118.3,37.3,1257,1925,154.71,12.5
-118.2,37.3,2252,1925,295.52,7.3
-118.1,37.3,1599,1925,203.45,10.9
-118,37.3,1944,1925,219.95,9.4
-120,37.2,163,1925,323.47,16.4
-119.9,37.2,271,1925,305.12,16.5
-119.8,37.2,377,1925,400.88,15.6
-119.7,37.2,601,1925,498.59,14.4
-119.6,37.2,676,1925,551.36,14.3
-119.5,37.2,803,1925,615.91,13.9
-119.4,37.2,1327,1925,753.31,12.5
-119.3,37.2,1384,1925,713.14,11.5
-119.2,37.2,2204,1925,825.14,6.7
-119.1,37.2,2715,1925,840.44,3.5
-119,37.2,2928,1925,958.22,2.3
-118.9,37.2,3073,1925,1041.04,2.1
-118.8,37.2,3070,1925,882.56,1.6
-118.7,37.2,3680,1925,833.94,-0.7
-118.6,37.2,3166,1925,354.41,3
-118.5,37.2,3161,1925,382.61,2.2
-118.4,37.2,2630,1925,274.86,5.7
-118.3,37.2,1202,1925,144.45,12.8
-118.2,37.2,1619,1925,191.78,11.3
-118.1,37.2,2462,1925,282.97,6.4
-118,37.2,2148,1925,252.17,8.2
-120,37.1,109,1925,281.35,16.1
-119.9,37.1,126,1925,298.69,16.4
